model,variant,color,fuel_type,transmission,price,manufacture_date,sale_date,state,mileage,engine_capacity,battery_capacity,charging_time,seating_capacity,ground_clearance,boot_space
Tesla Model S,Long Range,Solid Black,Electric,Automatic,98493.45,2024-04-02,2024-04-18,Illinois,357.1,0,62.4,11.6,5,141.3,575
Tesla Model Y,Plaid,Ultra Red,Electric,Automatic,58882.02,2023-10-06,2023-12-10,Connecticut,278.6,0,99.8,9.4,7,140.3,590
Tesla Roadster,Standard Range,Pearl White,Electric,Automatic,214005.5,2024-06-13,2024-06-15,Florida,566.9,0,99.6,9.9,5,166.4,533
Tesla Model X,Standard Range,Stealth Grey,Electric,Automatic,100377.04,2023-07-10,2023-09-26,Texas,339.8,0,69.7,3.0,7,164.1,764
Tesla Model Y,Long Range,Deep Blue Metallic,Electric,Automatic,69964.16,2025-01-15,2025-01-31,Florida,307.6,0,61.9,7.6,7,140.6,606
Tesla Model X,Long Range,Midnight Silver Metallic,Electric,Automatic,118264.02,2025-03-04,2025-03-20,Colorado,331.5,0,87.6,5.8,7,148.3,880
Tesla Cybertruck,Performance,Pearl White,Electric,Automatic,69848.35,2024-11-30,2024-12-07,Colorado,329.3,0,94.0,1.2,5,140.9,438
Tesla Roadster,Standard Range,Solid Black,Electric,Automatic,207876.56,2025-01-24,2025-01-30,Maryland,436.0,0,88.3,3.5,5,149.3,487
Tesla Model S,Standard Range,Stealth Grey,Electric,Automatic,85330.86,2024-01-09,2024-01-15,Florida,387.0,0,76.8,11.2,5,142.1,614
Tesla Model X,Standard Range,Stealth Grey,Electric,Automatic,98422.14,2024-01-31,2024-03-28,New York,326.5,0,75.2,10.3,7,155.3,435
Tesla Cybertruck,Performance,Pearl White,Electric,Automatic,65359.78,2024-07-16,2024-08-30,New York,378.6,0,71.9,8.7,5,143.3,431
Tesla Model X,Plaid,Stealth Grey,Electric,Automatic,93573.25,2024-09-21,2024-12-08,Texas,314.6,0,81.9,1.2,7,160.9,785
Tesla Model 3,Performance,Solid Black,Electric,Automatic,47187.48,2024-05-20,2024-06-28,Colorado,326.0,0,65.8,9.2,5,148.2,641
Tesla Model S,Performance,Midnight Silver Metallic,Electric,Automatic,90433.8,2024-03-26,2024-05-26,Virginia,355.1,0,73.5,2.7,5,168.1,441
Tesla Model Y,Performance,Stealth Grey,Electric,Automatic,45344.19,2023-07-15,2023-07-26,Virginia,289.4,0,82.9,0.9,7,169.0,859
Tesla Model X,Long Range,Stealth Grey,Electric,Automatic,83320.23,2025-01-25,2025-03-06,Florida,313.3,0,61.1,9.7,7,167.1,597
Tesla Model S,Standard Range,Red Multi-Coat,Electric,Automatic,76794.68,2024-07-27,2024-08-29,Illinois,321.6,0,89.6,8.8,5,147.9,542
Tesla Model Y,Standard Range,Ultra Red,Electric,Automatic,45308.4,2023-06-18,2023-09-06,New York,261.6,0,80.8,7.9,7,154.1,849
Tesla Model 3,Long Range,Ultra Red,Electric,Automatic,47378.0,2023-11-14,2023-12-21,Maryland,319.2,0,65.7,10.7,5,150.3,601
Tesla Roadster,Standard Range,Stealth Grey,Electric,Automatic,212364.73,2024-01-26,2024-04-03,Texas,547.3,0,89.8,5.3,5,152.9,569
Tesla Model 3,Standard Range,Red Multi-Coat,Electric,Automatic,42702.71,2023-05-22,2023-06-17,Oregon,331.4,0,60.6,10.2,5,154.6,549
Tesla Roadster,Plaid,Deep Blue Metallic,Electric,Automatic,216080.43,2025-03-04,2025-04-16,Illinois,416.1,0,68.9,9.1,5,147.3,450
Tesla Model X,Standard Range,Solid Black,Electric,Automatic,120857.71,2024-01-10,2024-04-09,Arizona,344.4,0,93.4,8.8,7,161.2,877
Tesla Cybertruck,Long Range,Deep Blue Metallic,Electric,Automatic,50444.02,2024-10-23,2024-12-30,Connecticut,376.6,0,82.6,10.4,5,154.6,626
Tesla Model 3,Performance,Pearl White,Electric,Automatic,43897.31,2025-03-23,2025-03-25,Oregon,292.9,0,98.0,6.5,5,159.9,492
Tesla Model X,Performance,Solid Black,Electric,Automatic,112444.03,2023-10-04,2023-11-01,Illinois,318.1,0,78.3,9.1,7,140.5,648
Tesla Model X,Long Range,Red Multi-Coat,Electric,Automatic,128804.99,2024-08-09,2024-09-21,Illinois,335.9,0,93.3,3.8,7,168.9,596
Tesla Model X,Standard Range,Solid Black,Electric,Automatic,87680.52,2024-08-05,2024-11-02,New York,314.9,0,75.2,10.0,7,158.9,502
Tesla Model S,Plaid,Red Multi-Coat,Electric,Automatic,89436.02,2024-11-09,2024-11-17,Nevada,346.8,0,65.0,3.9,5,142.9,631
Tesla Model 3,Performance,Stealth Grey,Electric,Automatic,47705.44,2024-12-31,2025-03-01,Colorado,302.7,0,75.5,11.0,5,163.8,558
Tesla Model S,Long Range,Solid Black,Electric,Automatic,91516.98,2024-10-27,2024-12-21,Florida,364.2,0,63.8,7.5,5,140.5,461
Tesla Model 3,Standard Range,Midnight Silver Metallic,Electric,Automatic,40517.37,2023-04-21,2023-04-27,Nevada,276.0,0,95.6,7.1,5,153.2,638
Tesla Model Y,Long Range,Stealth Grey,Electric,Automatic,50804.92,2024-07-24,2024-08-05,Illinois,283.1,0,71.8,6.8,7,141.2,554
Tesla Model S,Performance,Pearl White,Electric,Automatic,81225.02,2025-03-03,2025-04-19,Washington,381.8,0,63.2,7.2,5,168.1,440
Tesla Model Y,Performance,Deep Blue Metallic,Electric,Automatic,54405.12,2024-12-19,2025-02-03,Virginia,280.0,0,85.0,3.5,7,153.3,516
Tesla Model X,Long Range,Ultra Red,Electric,Automatic,84261.35,2024-04-28,2024-06-19,Oregon,305.6,0,79.2,1.3,7,163.3,661
Tesla Model S,Standard Range,Midnight Silver Metallic,Electric,Automatic,105546.56,2024-11-05,2025-01-20,Maryland,360.6,0,63.3,10.3,5,165.6,634
Tesla Roadster,Plaid,Stealth Grey,Electric,Automatic,208256.24,2024-07-03,2024-09-15,Oregon,539.7,0,77.4,4.6,5,157.5,513
Tesla Model Y,Long Range,Ultra Red,Electric,Automatic,46559.48,2024-12-11,2025-01-06,Oregon,268.9,0,88.2,2.9,7,149.4,546
Tesla Model X,Plaid,Deep Blue Metallic,Electric,Automatic,116071.08,2024-07-04,2024-08-09,California,305.9,0,87.2,3.3,7,158.0,443
Tesla Model Y,Standard Range,Deep Blue Metallic,Electric,Automatic,64116.33,2023-10-03,2023-11-15,California,313.7,0,79.5,7.2,7,140.5,862
Tesla Roadster,Plaid,Midnight Silver Metallic,Electric,Automatic,227373.97,2025-01-23,2025-01-31,Washington,468.4,0,88.7,1.6,5,144.8,540
Tesla Model Y,Long Range,Midnight Silver Metallic,Electric,Automatic,63858.49,2023-12-29,2024-02-27,New Jersey,323.8,0,80.8,6.5,7,160.7,502
Tesla Model Y,Performance,Pearl White,Electric,Automatic,54388.92,2024-08-06,2024-08-29,California,325.5,0,62.8,2.0,7,153.0,449
Tesla Model X,Performance,Deep Blue Metallic,Electric,Automatic,102801.39,2024-11-22,2025-01-08,Oregon,323.0,0,69.8,7.4,7,156.9,799
Tesla Model X,Long Range,Deep Blue Metallic,Electric,Automatic,99450.31,2023-05-09,2023-07-07,New Jersey,345.1,0,87.4,3.2,7,144.4,650
Tesla Cybertruck,Performance,Deep Blue Metallic,Electric,Automatic,75944.11,2023-08-24,2023-11-16,Arizona,392.6,0,73.5,7.1,5,141.5,598
Tesla Roadster,Performance,Red Multi-Coat,Electric,Automatic,211119.95,2024-12-16,2025-01-25,Texas,475.6,0,72.1,6.2,5,160.2,603
Tesla Model S,Plaid,Stealth Grey,Electric,Automatic,122140.52,2024-03-20,2024-04-07,Virginia,345.9,0,95.7,7.2,5,164.3,620
Tesla Cybertruck,Plaid,Pearl White,Electric,Automatic,78986.49,2024-04-11,2024-05-05,Washington,383.1,0,83.6,7.1,5,168.7,642
Tesla Model 3,Long Range,Red Multi-Coat,Electric,Automatic,46174.7,2024-08-31,2024-11-27,Texas,299.7,0,85.7,11.7,5,159.9,532
Tesla Model S,Plaid,Midnight Silver Metallic,Electric,Automatic,94775.25,2024-10-11,2024-12-15,Florida,390.0,0,80.7,9.0,5,169.4,569
Tesla Model X,Long Range,Midnight Silver Metallic,Electric,Automatic,111941.3,2024-06-03,2024-07-25,California,334.0,0,71.8,4.8,7,150.1,475
Tesla Model 3,Performance,Ultra Red,Electric,Automatic,42969.65,2024-11-15,2024-11-27,Virginia,324.0,0,65.2,6.1,5,160.9,450
Tesla Cybertruck,Performance,Deep Blue Metallic,Electric,Automatic,56835.73,2023-05-10,2023-05-29,Texas,343.3,0,81.0,4.5,5,168.9,518
Tesla Model X,Performance,Red Multi-Coat,Electric,Automatic,137293.3,2024-03-28,2024-04-23,New Jersey,316.9,0,91.0,7.1,7,166.2,513
Tesla Roadster,Plaid,Solid Black,Electric,Automatic,200788.85,2024-02-14,2024-03-21,Nevada,538.2,0,71.5,3.0,5,165.8,447
Tesla Model X,Performance,Stealth Grey,Electric,Automatic,85493.09,2024-08-20,2024-08-30,New Jersey,319.7,0,70.9,5.7,7,144.2,457
Tesla Cybertruck,Plaid,Solid Black,Electric,Automatic,52834.26,2024-07-12,2024-09-08,New York,476.7,0,61.0,2.4,5,163.5,443
Tesla Model S,Long Range,Pearl White,Electric,Automatic,104449.56,2024-07-28,2024-08-25,Virginia,395.7,0,96.2,5.3,5,166.3,616
Tesla Model Y,Performance,Deep Blue Metallic,Electric,Automatic,67784.56,2023-05-14,2023-05-25,Massachusetts,327.1,0,69.6,4.7,7,167.3,662
Tesla Cybertruck,Standard Range,Pearl White,Electric,Automatic,67240.96,2024-05-13,2024-06-17,Connecticut,394.6,0,83.5,1.4,5,160.0,472
Tesla Cybertruck,Standard Range,Solid Black,Electric,Automatic,57423.74,2023-07-04,2023-09-24,Maryland,425.9,0,78.1,5.7,5,155.2,605
Tesla Model Y,Performance,Deep Blue Metallic,Electric,Automatic,55332.13,2023-08-19,2023-11-01,Illinois,268.8,0,70.9,5.7,7,155.5,897
Tesla Model 3,Plaid,Ultra Red,Electric,Automatic,43058.81,2023-11-26,2024-01-20,Texas,310.1,0,89.9,11.9,5,167.4,499
Tesla Model X,Performance,Solid Black,Electric,Automatic,112555.33,2024-07-31,2024-08-31,Maryland,324.0,0,74.4,6.0,7,154.0,852
Tesla Model X,Standard Range,Red Multi-Coat,Electric,Automatic,128423.82,2023-12-08,2024-01-10,Connecticut,338.9,0,95.1,9.4,7,155.1,610
Tesla Model Y,Long Range,Deep Blue Metallic,Electric,Automatic,55687.83,2023-09-06,2023-11-16,Massachusetts,305.4,0,81.5,0.9,7,145.5,848
Tesla Model Y,Standard Range,Midnight Silver Metallic,Electric,Automatic,47787.29,2024-08-24,2024-09-02,New Jersey,265.6,0,90.6,6.0,7,141.3,433
Tesla Roadster,Plaid,Ultra Red,Electric,Automatic,222108.74,2023-10-23,2023-11-30,Arizona,521.4,0,84.0,6.2,5,147.7,580
Tesla Model X,Performance,Deep Blue Metallic,Electric,Automatic,113758.53,2024-09-13,2024-12-03,Illinois,306.9,0,89.0,6.8,7,149.2,467
Tesla Model 3,Long Range,Deep Blue Metallic,Electric,Automatic,40879.49,2023-06-13,2023-06-21,Maryland,302.8,0,61.4,11.4,5,159.5,445
Tesla Model Y,Long Range,Red Multi-Coat,Electric,Automatic,59083.42,2024-11-23,2025-01-14,Washington,302.0,0,91.5,8.9,7,167.8,856
Tesla Model 3,Plaid,Pearl White,Electric,Automatic,53077.54,2023-12-04,2023-12-25,New Jersey,309.9,0,81.8,5.7,5,153.9,569
Tesla Cybertruck,Long Range,Red Multi-Coat,Electric,Automatic,60380.0,2024-07-27,2024-10-22,Illinois,291.9,0,61.1,2.6,5,165.2,583
Tesla Model Y,Plaid,Deep Blue Metallic,Electric,Automatic,51603.12,2023-08-29,2023-09-29,Virginia,279.9,0,95.1,9.8,7,148.1,653
Tesla Roadster,Standard Range,Pearl White,Electric,Automatic,240751.33,2024-12-29,2025-01-29,New Jersey,419.4,0,99.0,4.6,5,155.2,570
Tesla Model S,Plaid,Red Multi-Coat,Electric,Automatic,91816.54,2025-01-06,2025-01-10,Oregon,353.5,0,82.4,1.3,5,147.0,637
Tesla Model X,Plaid,Ultra Red,Electric,Automatic,83263.79,2024-04-01,2024-04-02,Texas,326.6,0,88.0,1.1,7,162.3,789
Tesla Model X,Performance,Stealth Grey,Electric,Automatic,86484.84,2025-03-15,2025-03-18,Maryland,345.2,0,73.3,4.2,7,167.8,495
Tesla Model 3,Plaid,Solid Black,Electric,Automatic,44498.61,2024-06-20,2024-07-06,California,277.2,0,83.3,1.8,5,153.7,445
Tesla Cybertruck,Plaid,Solid Black,Electric,Automatic,57917.26,2023-12-05,2023-12-08,Arizona,455.8,0,80.0,6.3,5,146.8,552
Tesla Model Y,Long Range,Solid Black,Electric,Automatic,57365.4,2023-11-03,2023-11-20,Florida,289.3,0,72.0,3.7,7,169.8,899
Tesla Roadster,Performance,Deep Blue Metallic,Electric,Automatic,231387.26,2024-07-05,2024-08-30,Washington,544.9,0,98.2,4.4,5,146.3,533
Tesla Model 3,Standard Range,Pearl White,Electric,Automatic,41103.07,2024-04-09,2024-06-20,Washington,280.9,0,68.7,4.3,5,147.7,587
Tesla Model S,Performance,Red Multi-Coat,Electric,Automatic,118178.67,2023-11-30,2023-12-22,Washington,373.6,0,71.9,1.2,5,153.0,459
Tesla Model X,Long Range,Red Multi-Coat,Electric,Automatic,95386.83,2024-03-12,2024-05-02,Florida,308.3,0,88.3,10.1,7,149.2,719
Tesla Model X,Plaid,Deep Blue Metallic,Electric,Automatic,136833.05,2024-04-16,2024-04-20,Nevada,306.5,0,99.5,10.5,7,161.9,577
Tesla Model S,Standard Range,Red Multi-Coat,Electric,Automatic,118859.1,2024-01-03,2024-03-06,Illinois,387.4,0,64.2,8.2,5,169.0,571
Tesla Model X,Plaid,Stealth Grey,Electric,Automatic,124666.55,2023-08-01,2023-08-20,New Jersey,337.0,0,97.7,9.6,7,142.6,652
Tesla Model 3,Plaid,Solid Black,Electric,Automatic,40210.16,2023-09-08,2023-11-02,Arizona,272.4,0,78.0,6.8,5,149.8,449
Tesla Roadster,Standard Range,Midnight Silver Metallic,Electric,Automatic,211224.83,2023-04-30,2023-05-04,Arizona,610.4,0,98.4,7.1,5,151.6,596
Tesla Model Y,Plaid,Stealth Grey,Electric,Automatic,47125.16,2023-10-01,2023-11-17,Colorado,274.7,0,99.6,8.0,7,145.5,874
Tesla Model S,Performance,Stealth Grey,Electric,Automatic,95782.17,2023-08-26,2023-10-05,Nevada,382.9,0,69.9,1.0,5,158.2,592
Tesla Model X,Performance,Red Multi-Coat,Electric,Automatic,115106.46,2024-09-09,2024-10-15,New York,319.6,0,69.8,9.7,7,150.3,707
Tesla Cybertruck,Plaid,Solid Black,Electric,Automatic,67659.16,2025-01-31,2025-02-18,California,420.9,0,82.8,6.5,5,156.9,537
Tesla Roadster,Standard Range,Red Multi-Coat,Electric,Automatic,235581.89,2024-12-03,2025-01-28,Washington,409.2,0,69.0,8.4,5,167.6,463
Tesla Cybertruck,Plaid,Ultra Red,Electric,Automatic,69988.61,2024-02-20,2024-04-26,Arizona,273.8,0,82.0,10.7,5,158.5,581
Tesla Model S,Long Range,Deep Blue Metallic,Electric,Automatic,120418.61,2025-02-01,2025-02-20,Maryland,345.5,0,90.3,1.7,5,155.1,498
Tesla Roadster,Performance,Midnight Silver Metallic,Electric,Automatic,245549.54,2024-12-11,2025-01-26,California,559.1,0,68.9,4.4,5,163.7,586
Tesla Cybertruck,Performance,Red Multi-Coat,Electric,Automatic,76273.44,2023-05-30,2023-06-23,New York,319.3,0,68.0,6.7,5,169.7,491
Tesla Cybertruck,Long Range,Pearl White,Electric,Automatic,51840.82,2024-10-04,2024-10-14,Connecticut,478.1,0,89.2,9.7,5,163.5,525
Tesla Cybertruck,Performance,Ultra Red,Electric,Automatic,69761.45,2024-10-27,2024-11-12,Florida,335.4,0,66.5,2.0,5,146.6,576
Tesla Model X,Standard Range,Solid Black,Electric,Automatic,96063.94,2023-04-25,2023-05-03,Illinois,341.2,0,60.5,1.3,7,145.2,627
Tesla Model 3,Performance,Red Multi-Coat,Electric,Automatic,51087.1,2023-10-19,2023-10-29,Arizona,308.0,0,70.2,6.0,5,164.5,507
Tesla Model S,Plaid,Pearl White,Electric,Automatic,108089.06,2024-04-02,2024-06-30,Oregon,329.9,0,95.9,7.0,5,147.9,494
Tesla Cybertruck,Standard Range,Pearl White,Electric,Automatic,63832.76,2024-07-18,2024-07-24,Illinois,337.2,0,95.5,3.1,5,162.9,444
Tesla Model S,Long Range,Red Multi-Coat,Electric,Automatic,85661.87,2024-06-06,2024-07-07,New York,336.9,0,79.5,7.7,5,142.9,622
Tesla Roadster,Standard Range,Midnight Silver Metallic,Electric,Automatic,230669.23,2024-06-18,2024-07-19,New Jersey,551.0,0,74.6,0.6,5,164.8,450
Tesla Cybertruck,Long Range,Ultra Red,Electric,Automatic,76083.36,2023-07-15,2023-10-01,Texas,417.2,0,84.0,9.4,5,161.2,511
Tesla Model X,Long Range,Solid Black,Electric,Automatic,85648.7,2024-01-24,2024-04-05,Connecticut,316.7,0,74.0,2.7,7,166.7,460
Tesla Model X,Long Range,Pearl White,Electric,Automatic,99667.52,2024-12-06,2024-12-13,Maryland,325.2,0,91.4,6.4,7,162.3,863
Tesla Model 3,Long Range,Ultra Red,Electric,Automatic,48971.63,2025-02-01,2025-02-02,Illinois,302.8,0,98.0,11.1,5,162.3,567
Tesla Model Y,Standard Range,Solid Black,Electric,Automatic,63934.69,2023-08-24,2023-08-25,New York,298.8,0,79.9,9.3,7,140.6,699
Tesla Model S,Standard Range,Pearl White,Electric,Automatic,126515.98,2024-04-29,2024-05-01,New York,334.1,0,77.4,9.4,5,143.1,506
Tesla Model S,Plaid,Pearl White,Electric,Automatic,117139.82,2024-11-11,2024-11-13,Texas,334.7,0,94.5,11.1,5,148.6,510
Tesla Model 3,Plaid,Solid Black,Electric,Automatic,46130.21,2025-03-20,2025-05-22,New York,293.7,0,80.7,4.9,5,165.2,526
Tesla Model Y,Long Range,Red Multi-Coat,Electric,Automatic,62086.34,2023-04-11,2023-05-08,Illinois,303.5,0,81.8,7.0,7,153.5,832
Tesla Model 3,Standard Range,Midnight Silver Metallic,Electric,Automatic,45462.78,2025-03-02,2025-03-24,Florida,302.0,0,88.8,11.0,5,142.6,517
Tesla Model Y,Standard Range,Solid Black,Electric,Automatic,51858.86,2023-05-06,2023-07-07,Virginia,307.6,0,91.7,3.2,7,162.7,439
Tesla Model S,Long Range,Midnight Silver Metallic,Electric,Automatic,110572.53,2023-11-24,2024-02-08,Illinois,353.2,0,97.0,10.4,5,149.4,618
Tesla Model X,Performance,Pearl White,Electric,Automatic,107166.43,2024-10-27,2024-12-21,California,317.2,0,63.3,2.1,7,153.7,493
Tesla Roadster,Performance,Deep Blue Metallic,Electric,Automatic,216150.9,2024-04-25,2024-07-16,Oregon,582.6,0,66.3,11.3,5,140.5,489
Tesla Model Y,Performance,Deep Blue Metallic,Electric,Automatic,53332.71,2024-03-05,2024-04-23,Texas,328.1,0,69.0,0.6,7,165.8,826
Tesla Roadster,Plaid,Solid Black,Electric,Automatic,226033.64,2024-05-31,2024-08-07,Nevada,583.6,0,61.6,4.6,5,145.2,526
Tesla Model Y,Long Range,Deep Blue Metallic,Electric,Automatic,63154.53,2024-11-09,2025-01-14,Virginia,326.3,0,83.1,1.0,7,141.1,490
Tesla Model 3,Plaid,Solid Black,Electric,Automatic,48024.3,2024-09-09,2024-09-18,Arizona,275.8,0,79.9,6.8,5,155.4,446
Tesla Model Y,Standard Range,Solid Black,Electric,Automatic,54500.81,2024-05-30,2024-08-12,Florida,273.2,0,73.2,10.4,7,141.7,684
Tesla Model X,Standard Range,Red Multi-Coat,Electric,Automatic,96342.83,2023-04-29,2023-05-09,New York,312.2,0,66.1,3.1,7,164.4,512
Tesla Model S,Standard Range,Midnight Silver Metallic,Electric,Automatic,120577.44,2024-03-25,2024-04-24,Maryland,375.6,0,67.3,6.6,5,156.0,497
Tesla Model S,Plaid,Ultra Red,Electric,Automatic,102154.24,2025-03-05,2025-04-29,New York,381.4,0,83.1,0.9,5,164.3,511
Tesla Cybertruck,Performance,Red Multi-Coat,Electric,Automatic,66874.73,2023-05-12,2023-07-30,Massachusetts,484.6,0,99.6,11.4,5,157.7,531
Tesla Roadster,Plaid,Stealth Grey,Electric,Automatic,223531.83,2024-08-22,2024-11-20,Texas,486.3,0,88.7,2.8,5,141.0,598
Tesla Cybertruck,Plaid,Stealth Grey,Electric,Automatic,61203.4,2024-08-29,2024-09-24,Washington,412.7,0,89.8,1.0,5,151.0,598
Tesla Model 3,Standard Range,Ultra Red,Electric,Automatic,53044.92,2024-02-23,2024-05-09,Virginia,267.5,0,99.6,6.4,5,147.3,620
Tesla Model 3,Plaid,Midnight Silver Metallic,Electric,Automatic,40361.23,2024-06-14,2024-06-18,Oregon,328.5,0,84.5,9.4,5,154.6,467
Tesla Cybertruck,Plaid,Pearl White,Electric,Automatic,55420.37,2023-06-20,2023-09-08,New York,271.0,0,78.3,3.8,5,142.1,608
Tesla Model S,Long Range,Solid Black,Electric,Automatic,127589.68,2024-12-16,2025-03-11,Florida,378.2,0,85.7,10.5,5,163.0,563
Tesla Model S,Standard Range,Ultra Red,Electric,Automatic,101196.06,2024-12-27,2025-02-08,Arizona,348.1,0,91.6,6.3,5,144.5,569
Tesla Model S,Long Range,Solid Black,Electric,Automatic,125950.99,2023-06-05,2023-09-03,Washington,325.1,0,68.1,1.6,5,151.7,473
Tesla Model X,Performance,Ultra Red,Electric,Automatic,119778.59,2023-12-28,2024-02-13,New Jersey,320.2,0,83.4,4.6,7,153.3,486
Tesla Model S,Standard Range,Red Multi-Coat,Electric,Automatic,76684.19,2025-03-08,2025-04-12,Massachusetts,393.6,0,74.4,10.9,5,145.1,633
Tesla Model Y,Performance,Deep Blue Metallic,Electric,Automatic,66506.25,2023-04-04,2023-06-10,Arizona,270.2,0,74.6,8.6,7,158.7,593
Tesla Model X,Performance,Stealth Grey,Electric,Automatic,113171.28,2025-02-03,2025-04-30,Illinois,313.5,0,71.5,11.0,7,164.8,494
Tesla Model 3,Plaid,Red Multi-Coat,Electric,Automatic,53151.65,2024-06-02,2024-07-29,Washington,283.6,0,65.7,0.7,5,144.4,644
Tesla Model S,Long Range,Ultra Red,Electric,Automatic,104591.15,2024-07-13,2024-08-20,Oregon,387.9,0,98.8,11.0,5,152.1,469
Tesla Model S,Performance,Stealth Grey,Electric,Automatic,123761.83,2023-12-26,2024-01-17,Maryland,402.5,0,96.7,7.6,5,151.7,529
Tesla Model Y,Performance,Solid Black,Electric,Automatic,61580.76,2024-10-30,2024-12-21,Colorado,279.5,0,87.6,1.8,7,146.1,435
Tesla Model X,Long Range,Red Multi-Coat,Electric,Automatic,132210.68,2024-07-23,2024-09-19,New Jersey,319.6,0,90.8,10.8,7,155.4,710
Tesla Model Y,Long Range,Solid Black,Electric,Automatic,50922.96,2024-10-29,2024-11-09,New Jersey,280.3,0,93.6,10.7,7,161.7,810
Tesla Model S,Plaid,Stealth Grey,Electric,Automatic,84804.8,2024-03-31,2024-04-12,Massachusetts,349.0,0,92.8,11.6,5,165.6,619
Tesla Model X,Long Range,Solid Black,Electric,Automatic,130446.09,2023-09-02,2023-10-07,Washington,309.1,0,63.0,6.7,7,147.1,742
Tesla Model Y,Plaid,Pearl White,Electric,Automatic,44335.91,2024-12-16,2025-01-28,California,288.2,0,93.2,0.8,7,146.9,579
Tesla Roadster,Plaid,Solid Black,Electric,Automatic,201015.0,2023-12-17,2024-01-17,New Jersey,485.5,0,88.0,2.7,5,170.0,573
Tesla Cybertruck,Plaid,Pearl White,Electric,Automatic,62188.31,2025-03-24,2025-05-31,Nevada,290.8,0,79.3,10.2,5,157.6,530
Tesla Model X,Standard Range,Ultra Red,Electric,Automatic,107771.45,2025-01-30,2025-02-09,Oregon,330.6,0,71.2,6.3,7,149.1,441
Tesla Model 3,Plaid,Midnight Silver Metallic,Electric,Automatic,51469.76,2023-10-14,2023-11-02,Florida,281.8,0,60.2,9.1,5,165.6,480
Tesla Roadster,Performance,Stealth Grey,Electric,Automatic,233820.56,2024-03-09,2024-04-21,New York,430.6,0,86.9,6.6,5,145.9,592
Tesla Model Y,Standard Range,Ultra Red,Electric,Automatic,46120.81,2024-02-23,2024-05-09,New Jersey,275.3,0,91.1,11.8,7,152.0,792
Tesla Model 3,Performance,Pearl White,Electric,Automatic,51130.91,2025-03-06,2025-04-10,Maryland,312.8,0,61.0,4.1,5,148.7,643
Tesla Model Y,Standard Range,Midnight Silver Metallic,Electric,Automatic,55542.28,2023-05-26,2023-08-04,New Jersey,326.5,0,67.4,11.5,7,156.1,527
Tesla Model X,Long Range,Midnight Silver Metallic,Electric,Automatic,81651.47,2024-08-19,2024-08-27,Colorado,309.1,0,86.6,7.6,7,169.6,676
Tesla Cybertruck,Long Range,Stealth Grey,Electric,Automatic,70700.2,2023-03-31,2023-06-22,Connecticut,361.6,0,88.3,11.4,5,165.7,535
Tesla Model Y,Standard Range,Red Multi-Coat,Electric,Automatic,48869.78,2023-12-02,2024-01-27,Washington,315.2,0,90.8,4.4,7,157.4,461
Tesla Cybertruck,Plaid,Stealth Grey,Electric,Automatic,62831.19,2024-02-13,2024-04-25,Oregon,260.7,0,71.9,3.5,5,151.7,433
Tesla Model S,Performance,Solid Black,Electric,Automatic,110414.36,2023-08-23,2023-10-01,Colorado,395.9,0,94.7,7.4,5,159.8,553
Tesla Cybertruck,Performance,Stealth Grey,Electric,Automatic,66330.1,2024-12-15,2025-02-10,Oregon,268.4,0,76.2,5.6,5,148.6,564
Tesla Roadster,Plaid,Ultra Red,Electric,Automatic,229191.04,2023-06-07,2023-08-08,Oregon,557.0,0,85.9,6.9,5,148.5,588
Tesla Model Y,Performance,Stealth Grey,Electric,Automatic,64184.97,2024-01-19,2024-04-03,Maryland,275.8,0,81.0,4.7,7,140.9,657
Tesla Model X,Long Range,Midnight Silver Metallic,Electric,Automatic,100963.42,2023-06-27,2023-07-02,Massachusetts,314.0,0,96.6,1.1,7,164.7,567
Tesla Model X,Long Range,Stealth Grey,Electric,Automatic,138843.65,2025-03-11,2025-04-18,Massachusetts,317.1,0,95.0,2.3,7,140.5,471
Tesla Model 3,Performance,Midnight Silver Metallic,Electric,Automatic,51057.08,2023-08-26,2023-09-09,Oregon,301.7,0,72.7,11.8,5,157.9,646
Tesla Roadster,Standard Range,Stealth Grey,Electric,Automatic,218115.69,2024-04-12,2024-06-24,California,458.4,0,73.5,0.9,5,158.3,616
Tesla Model S,Standard Range,Deep Blue Metallic,Electric,Automatic,96537.23,2023-06-12,2023-07-21,Washington,386.0,0,80.3,9.7,5,165.7,426
Tesla Model Y,Standard Range,Red Multi-Coat,Electric,Automatic,50236.29,2023-07-30,2023-10-24,New Jersey,329.1,0,92.1,5.4,7,164.1,626
Tesla Cybertruck,Plaid,Ultra Red,Electric,Automatic,67717.78,2024-07-16,2024-09-16,Virginia,299.1,0,69.8,9.9,5,149.6,628
Tesla Model S,Plaid,Red Multi-Coat,Electric,Automatic,118105.03,2024-12-07,2025-03-06,Arizona,389.9,0,92.3,3.2,5,143.8,642
Tesla Cybertruck,Long Range,Deep Blue Metallic,Electric,Automatic,53342.82,2023-05-19,2023-08-04,Texas,418.2,0,85.1,11.5,5,152.4,546
Tesla Model S,Performance,Midnight Silver Metallic,Electric,Automatic,77084.2,2024-04-16,2024-06-29,Florida,398.7,0,67.1,10.2,5,162.6,606
Tesla Cybertruck,Performance,Red Multi-Coat,Electric,Automatic,77529.78,2024-06-15,2024-08-05,Washington,304.4,0,71.3,1.6,5,152.6,461
